Se o algoritmo usou stemming;F1;MAP;MRR;Precision5;Precision10
Usou Stemming;0.07147182585808107;0.04307279169669942;0.08896905563572229;0.03232323232323234;0.03131313131313133
Nao usou Stemming;0.07148075753064856;0.04356821683784097;0.09032387365720698;0.030303030303030304;0.035353535353535366
